,R²,MAE,RMSE,MAPE
Linear Regression,0.8433404269708822,754.076930178578,931.9969904507101,1.22%
Ridge Regression,0.8485655681506548,807.9579081829864,916.3225132538163,1.32%
Random Forest,-7.482903091013487,6319.143141666708,6858.170747187741,10.21%
